REPORT_ID,EXPENSE_TYPE,TRANSACTION_DATE,EMPLOYEE_ID,EMPLOYEE_NAME,DEPARTMENT,COST_CENTER,JOB_TITLE,HOME_CITY,TRIP_PURPOSE,PAYMENT_METHOD,ORIGIN_IATA,DESTINATION_IATA,ORIGIN_CITY,DESTINATION_CITY,DISTANCE_KM,AIRLINE_CODE,AIRLINE_NAME,FLIGHT_NUMBER,CABIN_CLASS,HOTEL_NAME,HOTEL_CITY,CHECK_IN_DATE,CHECK_OUT_DATE,GROUND_TRANSPORT_TYPE,AMOUNT,CURRENCY,REIMBURSABLE,POLICY_COMPLIANT,POLICY_EXCEPTION_REASON,EMISSION_FACTOR_KGCO2E_PER_KM_OR_NIGHT,ESTIMATED_EMISSIONS_KGCO2E,APPROVAL_STATUS,RECEIPT_ATTACHED,NOTES
RPT-010001,Air Travel,30-09-2023,EMP-0193,Suresh Kumar,Sales,CC-SAL-001,Regional Head,Delhi,Site Visit,Corporate Card,BOM,CCU,Mumbai,Kolkata,1672,6E,Air India,6E776,Business,,,,,,49661.16,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,852.72,Approved,Yes,
RPT-010002,Air Travel,28-10-2023,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Project Review,Corporate Card,DEL,CCU,Delhi,Kolkata,,6E,IndiGo,6E897,Business,,,,,,29047.02,INR,Yes,No,Domestic business/first not permitted without VP approval,,,Approved,Yes,
RPT-010003,Air Travel,12-08-2023,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Internal Meeting,Corporate Card,BOM,FRA,Mumbai,Frankfurt,6200,LH,Lufthansa,LH317,Business,,,,,,310303.58,INR,Yes,Yes,,0.585,7254,Approved,Yes,
RPT-010004,Air Travel,14-04-2023,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Project Review,Corporate Card,BOM,MAA,Mumbai,Chennai,1337,6E,Air India,6E642,Economy,,,,,,16887.07,INR,Yes,Yes,,0.255,340.94,Approved,No,
RPT-010005,Ground - Airport Transfer,03-03-2024,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Tender Submission,Corporate Card,,,,,,,,,,,,,,Airport Transfer,299.78,INR,Yes,Yes,,0.17,36.72,Approved,No,
RPT-010006,Ground - Airport Transfer,24-02-2023,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Board Meeting,Corporate Card,,,,,,,,,,,,,,Airport Transfer,5305.25,INR,Yes,Yes,,0.17,63.58,Approved,Yes,
RPT-010007,Air Travel,26-05-2024,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Board Meeting,Cash,DEL,JFK,Delhi,New York,11755,UA,United Airlines,UA577,Economy,,,,,,59805.67,USD,Yes,Yes,,0.195,4584.45,Approved,No,
RPT-010008,Air Travel,16-05-2024,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Conference,Corporate Card,DEL,LHR,Delhi,London,,AI,Air India,AI888,Economy,,,,,,30575.91,AED,Yes,Yes,,,,Approved,Yes,
RPT-010009,Ground - Corporate Car,13-01-2025,EMP-0154,Deepa Krishnan,Projects,CC-PRJ-002,Project Lead,Chennai,Board Meeting,Corporate Card,,,,,,,,,,,,,,Corporate Car,3877.38,INR,Yes,Yes,,0.17,12.24,Rejected,Yes,
RPT-010010,Air Travel,23-04-2024,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Client Meeting,Cash,BOM,LHR,Mumbai,London,,AI,Air India,AI795,First,,,,,,562283.3,INR,Yes,Yes,,,,Pending,No,
